Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,Low CI,High CI,Confidence Interval,Quartile Range,Suppression Flag,Quartile Number
Adults who usually or always feel lonely,By State,Utah,Utah,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,14.2,11.2,17.6,11.2 - 17.6,13.5-14.8,,3
Adults who usually or always feel lonely,By State,Vermont,Vermont,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,9.3,5.7,14,5.7 - 14.0,9.3-12.4,,1
Adults who usually or always feel lonely,By State,Virginia,Virginia,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,13.2,10.4,16.3,10.4 - 16.3,12.5-13.4,,2
Adults who usually or always feel lonely,By State,Washington,Washington,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,14.8,12.3,17.6,12.3 - 17.6,13.5-14.8,,3
Adults who usually or always feel lonely,By State,West Virginia,West Virginia,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,13.6,10.8,16.8,10.8 - 16.8,13.5-14.8,,3
Adults who usually or always feel lonely,By State,Wisconsin,Wisconsin,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,11.8,8.8,15.4,8.8 - 15.4,9.3-12.4,,1
Adults who usually or always feel lonely,By State,Wyoming,Wyoming,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,17.3,13.3,22,13.3 - 22.0,14.9-21.2,,4
"Adults who sometimes, usually, or always feel lonely",National Estimate,United States,United States,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,41.5,40.9,42.1,40.9 - 42.1,,,
"Adults who sometimes, usually, or always feel lonely",By Age,United States,18 - 29 years,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,61,58.6,63.3,58.6 - 63.3,,,
"Adults who sometimes, usually, or always feel lonely",By Age,United States,30 - 39 years,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,47.8,46.3,49.4,46.3 - 49.4,,,
"Adults who sometimes, usually, or always feel lonely",By Age,United States,40 - 49 years,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,42,40.2,43.8,40.2 - 43.8,,,
"Adults who sometimes, usually, or always feel lonely",By Age,United States,50 - 59 years,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,37.7,35.9,39.5,35.9 - 39.5,,,
"Adults who sometimes, usually, or always feel lonely",By Age,United States,60 - 69 years,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,32.5,31.1,33.9,31.1 - 33.9,,,
"Adults who sometimes, usually, or always feel lonely",By Age,United States,70 - 79 years,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,28.2,26.5,30,26.5 - 30.0,,,
"Adults who sometimes, usually, or always feel lonely",By Age,United States,80 years and above,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,26.8,23.8,30,23.8 - 30.0,,,
"Adults who sometimes, usually, or always feel lonely",By Sex,United States,Male,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,39.1,38.1,40.1,38.1 - 40.1,,,
"Adults who sometimes, usually, or always feel lonely",By Sex,United States,Female,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,43.8,42.9,44.7,42.9 - 44.7,,,
"Adults who sometimes, usually, or always feel lonely",By Gender identity,United States,Cis-gender male,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,39.6,38.2,40.9,38.2 - 40.9,,,
"Adults who sometimes, usually, or always feel lonely",By Gender identity,United States,Cis-gender female,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,43,41.9,44.1,41.9 - 44.1,,,
"Adults who sometimes, usually, or always feel lonely",By Gender identity,United States,Transgender,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,79.6,70.1,87.2,70.1 - 87.2,,,
"Adults who sometimes, usually, or always feel lonely",By Sexual orientation,United States,Gay or lesbian,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,53.6,49.3,57.9,49.3 - 57.9,,,
"Adults who sometimes, usually, or always feel lonely",By Sexual orientation,United States,Straight,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,38.4,37.7,39.1,37.7 - 39.1,,,
"Adults who sometimes, usually, or always feel lonely",By Sexual orientation,United States,Bisexual,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,68.4,65,71.6,65.0 - 71.6,,,
"Adults who sometimes, usually, or always feel lonely",By Race/Hispanic ethnicity,United States,Hispanic or Latino,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,43.4,41.1,45.7,41.1 - 45.7,,,
"Adults who sometimes, usually, or always feel lonely",By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,40.1,39.5,40.8,39.5 - 40.8,,,
"Adults who sometimes, usually, or always feel lonely",By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,43.4,41,45.8,41.0 - 45.8,,,
"Adults who sometimes, usually, or always feel lonely",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,39.3,36.1,42.5,36.1 - 42.5,,,
"Adults who sometimes, usually, or always feel lonely",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,51,47.4,54.5,47.4 - 54.5,,,
"Adults who sometimes, usually, or always feel lonely",By Education,United States,Less than a high school diploma,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,46.5,43.3,49.8,43.3 - 49.8,,,
"Adults who sometimes, usually, or always feel lonely",By Education,United States,High school diploma or GED,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,42.7,41.3,44.1,41.3 - 44.1,,,
"Adults who sometimes, usually, or always feel lonely",By Education,United States,Some college/Associate's degree,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,46.1,44.9,47.3,44.9 - 47.3,,,
"Adults who sometimes, usually, or always feel lonely",By Education,United States,Bachelor's degree or higher,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,35.6,34.7,36.4,34.7 - 36.4,,,
"Adults who sometimes, usually, or always feel lonely",By Disability status,United States,With disability,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,63.9,61.7,66,61.7 - 66.0,,,
"Adults who sometimes, usually, or always feel lonely",By Disability status,United States,Without disability,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,38.4,37.8,39.1,37.8 - 39.1,,,
"Adults who sometimes, usually, or always feel lonely",By State,Alabama,Alabama,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,43.1,38.8,47.4,38.8 - 47.4,41.9-43.4,,3
"Adults who sometimes, usually, or always feel lonely",By State,Alaska,Alaska,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,43.6,38,49.2,38.0 - 49.2,43.5-46.9,,4
"Adults who sometimes, usually, or always feel lonely",By State,Arizona,Arizona,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,42.2,38.5,46,38.5 - 46.0,41.9-43.4,,3
"Adults who sometimes, usually, or always feel lonely",By State,Arkansas,Arkansas,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,45.6,41.1,50.1,41.1 - 50.1,43.5-46.9,,4
"Adults who sometimes, usually, or always feel lonely",By State,California,California,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,43.4,40.8,46,40.8 - 46.0,41.9-43.4,,3
"Adults who sometimes, usually, or always feel lonely",By State,Colorado,Colorado,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,43,39.4,46.7,39.4 - 46.7,41.9-43.4,,3
"Adults who sometimes, usually, or always feel lonely",By State,Connecticut,Connecticut,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,42.6,38,47.4,38.0 - 47.4,41.9-43.4,,3
"Adults who sometimes, usually, or always feel lonely",By State,Delaware,Delaware,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,34.9,29.9,40.3,29.9 - 40.3,34.9-40.0,,1
"Adults who sometimes, usually, or always feel lonely",By State,District of Columbia,District of Columbia,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,42.8,36.3,49.5,36.3 - 49.5,41.9-43.4,,3
"Adults who sometimes, usually, or always feel lonely",By State,Florida,Florida,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,39.9,36.9,42.9,36.9 - 42.9,34.9-40.0,,1
"Adults who sometimes, usually, or always feel lonely",By State,Georgia,Georgia,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,45.8,42.2,49.5,42.2 - 49.5,43.5-46.9,,4
"Adults who sometimes, usually, or always feel lonely",By State,Hawaii,Hawaii,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,38.3,32.5,44.4,32.5 - 44.4,34.9-40.0,,1
"Adults who sometimes, usually, or always feel lonely",By State,Idaho,Idaho,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,41.8,36.9,46.8,36.9 - 46.8,40.1-41.8,,2
"Adults who sometimes, usually, or always feel lonely",By State,Illinois,Illinois,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,37.5,34.4,40.7,34.4 - 40.7,34.9-40.0,,1
"Adults who sometimes, usually, or always feel lonely",By State,Indiana,Indiana,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,39.9,35.9,44,35.9 - 44.0,34.9-40.0,,1
"Adults who sometimes, usually, or always feel lonely",By State,Iowa,Iowa,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,40.9,36.9,45,36.9 - 45.0,40.1-41.8,,2
"Adults who sometimes, usually, or always feel lonely",By State,Kansas,Kansas,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,41.7,38.2,45.2,38.2 - 45.2,40.1-41.8,,2
"Adults who sometimes, usually, or always feel lonely",By State,Kentucky,Kentucky,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,40.5,36.7,44.3,36.7 - 44.3,40.1-41.8,,2
"Adults who sometimes, usually, or always feel lonely",By State,Louisiana,Louisiana,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,42.9,38.1,47.9,38.1 - 47.9,41.9-43.4,,3
"Adults who sometimes, usually, or always feel lonely",By State,Maine,Maine,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,39.9,36.3,43.7,36.3 - 43.7,34.9-40.0,,1
"Adults who sometimes, usually, or always feel lonely",By State,Maryland,Maryland,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,44.9,41.1,48.9,41.1 - 48.9,43.5-46.9,,4
"Adults who sometimes, usually, or always feel lonely",By State,Massachusetts,Massachusetts,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,40.9,37.4,44.4,37.4 - 44.4,40.1-41.8,,2
"Adults who sometimes, usually, or always feel lonely",By State,Michigan,Michigan,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,43.5,40,47.1,40.0 - 47.1,43.5-46.9,,4
"Adults who sometimes, usually, or always feel lonely",By State,Minnesota,Minnesota,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,38.5,34.8,42.3,34.8 - 42.3,34.9-40.0,,1
"Adults who sometimes, usually, or always feel lonely",By State,Mississippi,Mississippi,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,42.9,37.9,48,37.9 - 48.0,41.9-43.4,,3
"Adults who sometimes, usually, or always feel lonely",By State,Missouri,Missouri,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,42.1,38.4,45.8,38.4 - 45.8,41.9-43.4,,3
"Adults who sometimes, usually, or always feel lonely",By State,Montana,Montana,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,40,35.3,44.8,35.3 - 44.8,34.9-40.0,,1
"Adults who sometimes, usually, or always feel lonely",By State,Nebraska,Nebraska,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,40.1,36.6,43.6,36.6 - 43.6,40.1-41.8,,2
"Adults who sometimes, usually, or always feel lonely",By State,Nevada,Nevada,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,44.8,40.4,49.3,40.4 - 49.3,43.5-46.9,,4
"Adults who sometimes, usually, or always feel lonely",By State,New Hampshire,New Hampshire,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,41.3,36.3,46.3,36.3 - 46.3,40.1-41.8,,2
"Adults who sometimes, usually, or always feel lonely",By State,New Jersey,New Jersey,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,42.6,38.4,46.9,38.4 - 46.9,41.9-43.4,,3
"Adults who sometimes, usually, or always feel lonely",By State,New Mexico,New Mexico,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,46.9,42.8,51,42.8 - 51.0,43.5-46.9,,4
"Adults who sometimes, usually, or always feel lonely",By State,New York,New York,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,40,35.3,44.9,35.3 - 44.9,34.9-40.0,,1
"Adults who sometimes, usually, or always feel lonely",By State,North Carolina,North Carolina,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,35.8,31.1,40.7,31.1 - 40.7,34.9-40.0,,1
"Adults who sometimes, usually, or always feel lonely",By State,North Dakota,North Dakota,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,42.7,38.3,47.3,38.3 - 47.3,41.9-43.4,,3
"Adults who sometimes, usually, or always feel lonely",By State,Ohio,Ohio,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,42.8,38.4,47.2,38.4 - 47.2,41.9-43.4,,3
"Adults who sometimes, usually, or always feel lonely",By State,Oklahoma,Oklahoma,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,39.2,34.6,44,34.6 - 44.0,34.9-40.0,,1
"Adults who sometimes, usually, or always feel lonely",By State,Oregon,Oregon,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,43.6,40.2,47,40.2 - 47.0,43.5-46.9,,4
"Adults who sometimes, usually, or always feel lonely",By State,Pennsylvania,Pennsylvania,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,40.9,37.8,44,37.8 - 44.0,40.1-41.8,,2
"Adults who sometimes, usually, or always feel lonely",By State,Rhode Island,Rhode Island,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,41.8,35.7,48.1,35.7 - 48.1,40.1-41.8,,2
"Adults who sometimes, usually, or always feel lonely",By State,South Carolina,South Carolina,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,41.7,37.7,45.7,37.7 - 45.7,40.1-41.8,,2
"Adults who sometimes, usually, or always feel lonely",By State,South Dakota,South Dakota,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,45.8,40.5,51.2,40.5 - 51.2,43.5-46.9,,4
"Adults who sometimes, usually, or always feel lonely",By State,Tennessee,Tennessee,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,40.6,37.3,43.9,37.3 - 43.9,40.1-41.8,,2
"Adults who sometimes, usually, or always feel lonely",By State,Texas,Texas,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,40.8,37.8,43.8,37.8 - 43.8,40.1-41.8,,2
"Adults who sometimes, usually, or always feel lonely",By State,Utah,Utah,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,41.4,38.1,44.8,38.1 - 44.8,40.1-41.8,,2
"Adults who sometimes, usually, or always feel lonely",By State,Vermont,Vermont,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,37.2,30.4,44.5,30.4 - 44.5,34.9-40.0,,1
"Adults who sometimes, usually, or always feel lonely",By State,Virginia,Virginia,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,41.7,39.1,44.4,39.1 - 44.4,40.1-41.8,,2
"Adults who sometimes, usually, or always feel lonely",By State,Washington,Washington,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,44.3,41.1,47.5,41.1 - 47.5,43.5-46.9,,4
"Adults who sometimes, usually, or always feel lonely",By State,West Virginia,West Virginia,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,43.7,39.1,48.4,39.1 - 48.4,43.5-46.9,,4
"Adults who sometimes, usually, or always feel lonely",By State,Wisconsin,Wisconsin,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,38.1,35,41.3,35.0 - 41.3,34.9-40.0,,1
"Adults who sometimes, usually, or always feel lonely",By State,Wyoming,Wyoming,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,46.2,41.3,51.1,41.3 - 51.1,43.5-46.9,,4
"Adults who talk on the telephone with family, friends, or neighbors less than three times in a typical week",National Estimate,United States,United States,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,47.2,46.3,48,46.3 - 48.0,,,
"Adults who talk on the telephone with family, friends, or neighbors less than three times in a typical week",By Age,United States,18 - 29 years,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,53.4,50.5,56.4,50.5 - 56.4,,,
"Adults who talk on the telephone with family, friends, or neighbors less than three times in a typical week",By Age,United States,30 - 39 years,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,51.5,49.6,53.3,49.6 - 53.3,,,
"Adults who talk on the telephone with family, friends, or neighbors less than three times in a typical week",By Age,United States,40 - 49 years,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,50.6,49,52.2,49.0 - 52.2,,,
"Adults who talk on the telephone with family, friends, or neighbors less than three times in a typical week",By Age,United States,50 - 59 years,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,46.6,45.1,48.2,45.1 - 48.2,,,
"Adults who talk on the telephone with family, friends, or neighbors less than three times in a typical week",By Age,United States,60 - 69 years,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,42.1,40.8,43.5,40.8 - 43.5,,,
"Adults who talk on the telephone with family, friends, or neighbors less than three times in a typical week",By Age,United States,70 - 79 years,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,38.3,36.9,39.8,36.9 - 39.8,,,
"Adults who talk on the telephone with family, friends, or neighbors less than three times in a typical week",By Age,United States,80 years and above,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,34.5,31.6,37.6,31.6 - 37.6,,,
"Adults who talk on the telephone with family, friends, or neighbors less than three times in a typical week",By Sex,United States,Male,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,52.8,51.6,54,51.6 - 54.0,,,
"Adults who talk on the telephone with family, friends, or neighbors less than three times in a typical week",By Sex,United States,Female,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,41.8,40.8,42.8,40.8 - 42.8,,,
"Adults who talk on the telephone with family, friends, or neighbors less than three times in a typical week",By Gender identity,United States,Cis-gender male,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,53.3,51.6,54.9,51.6 - 54.9,,,
"Adults who talk on the telephone with family, friends, or neighbors less than three times in a typical week",By Gender identity,United States,Cis-gender female,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,41.5,40,43,40.0 - 43.0,,,
"Adults who talk on the telephone with family, friends, or neighbors less than three times in a typical week",By Gender identity,United States,Transgender,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,67.5,56,77.6,56.0 - 77.6,,,
"Adults who talk on the telephone with family, friends, or neighbors less than three times in a typical week",By Sexual orientation,United States,Gay or lesbian,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,53.8,49.3,58.4,49.3 - 58.4,,,
"Adults who talk on the telephone with family, friends, or neighbors less than three times in a typical week",By Sexual orientation,United States,Straight,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,46,45.1,46.9,45.1 - 46.9,,,
"Adults who talk on the telephone with family, friends, or neighbors less than three times in a typical week",By Sexual orientation,United States,Bisexual,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,53.8,49.7,57.9,49.7 - 57.9,,,
"Adults who talk on the telephone with family, friends, or neighbors less than three times in a typical week",By Race/Hispanic ethnicity,United States,Hispanic or Latino,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,49.9,47.2,52.7,47.2 - 52.7,,,
"Adults who talk on the telephone with family, friends, or neighbors less than three times in a typical week",By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,47.7,46.8,48.7,46.8 - 48.7,,,
"Adults who talk on the telephone with family, friends, or neighbors less than three times in a typical week",By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,36.7,34.2,39.3,34.2 - 39.3,,,
"Adults who talk on the telephone with family, friends, or neighbors less than three times in a typical week",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,50.5,47.9,53,47.9 - 53.0,,,
"Adults who talk on the telephone with family, friends, or neighbors less than three times in a typical week",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,51.6,48.1,55,48.1 - 55.0,,,
"Adults who talk on the telephone with family, friends, or neighbors less than three times in a typical week",By Education,United States,Less than a high school diploma,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,49.7,45.7,53.8,45.7 - 53.8,,,
"Adults who talk on the telephone with family, friends, or neighbors less than three times in a typical week",By Education,United States,High school diploma or GED,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,47.1,45.6,48.7,45.6 - 48.7,,,
"Adults who talk on the telephone with family, friends, or neighbors less than three times in a typical week",By Education,United States,Some college/Associate's degree,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,46.4,45,47.7,45.0 - 47.7,,,
"Adults who talk on the telephone with family, friends, or neighbors less than three times in a typical week",By Education,United States,Bachelor's degree or higher,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,47.3,46.4,48.2,46.4 - 48.2,,,
"Adults who talk on the telephone with family, friends, or neighbors less than three times in a typical week",By Disability status,United States,With disability,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,52.8,50.9,54.6,50.9 - 54.6,,,
"Adults who talk on the telephone with family, friends, or neighbors less than three times in a typical week",By Disability status,United States,Without disability,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,46.4,45.5,47.3,45.5 - 47.3,,,
"Adults who talk on the telephone with family, friends, or neighbors less than three times in a typical week",By State,Alabama,Alabama,4.1,68,"Apr 30 - May 27, 2024",04/30/2024 12:00:00 AM,05/27/2024 12:00:00 AM,40.3,36.6,44.1,36.6 - 44.1,37.8-44.4,,1
